Report Date,Region,% Difference in Total COVID Patients,Total COVID Patients
9/15/2020,South Central,-9.433962264%,48
9/16/2020,South Central,6.25%,51
9/17/2020,South Central,-17.647058824%,42
9/18/2020,South Central,-19.047619048%,34
9/19/2020,South Central,-17.647058824%,28
9/20/2020,South Central,46.428571429%,41
9/21/2020,South Central,-2.439024390%,40
9/22/2020,South Central,10%,44
9/23/2020,South Central,-9.090909091%,40
9/24/2020,South Central,30%,52
3/30/2020,Western,,
3/31/2020,Western,,2
4/1/2020,Western,50%,3
4/2/2020,Western,0%,3
4/3/2020,Western,0%,3
4/4/2020,Western,-66.666666667%,1
4/5/2020,Western,100%,2
4/6/2020,Western,0%,2
4/7/2020,Western,50%,3
4/8/2020,Western,0%,3
4/9/2020,Western,133.333333333%,7
4/10/2020,Western,-14.285714286%,6
4/11/2020,Western,33.333333333%,8
4/12/2020,Western,25%,10
4/13/2020,Western,-70%,3
4/14/2020,Western,0%,3
4/15/2020,Western,66.666666667%,5
4/16/2020,Western,0%,5
4/17/2020,Western,-40%,3
4/18/2020,Western,-33.333333333%,2
4/19/2020,Western,0%,2
4/20/2020,Western,50%,3
4/21/2020,Western,0%,3
4/22/2020,Western,0%,3
4/23/2020,Western,33.333333333%,4
4/24/2020,Western,50%,6
4/25/2020,Western,-16.666666667%,5
4/26/2020,Western,0%,5
4/27/2020,Western,20%,6
4/28/2020,Western,0%,6
4/29/2020,Western,-33.333333333%,4
4/30/2020,Western,0%,4
5/1/2020,Western,-25%,3
5/2/2020,Western,66.666666667%,5
5/3/2020,Western,0%,5
5/4/2020,Western,-40%,3
5/5/2020,Western,100%,6
5/6/2020,Western,0%,6
5/7/2020,Western,0%,6
5/8/2020,Western,-16.666666667%,5
5/9/2020,Western,0%,5
5/10/2020,Western,20%,6
5/11/2020,Western,33.333333333%,8
5/12/2020,Western,-12.5%,7
5/13/2020,Western,14.285714286%,8
5/14/2020,Western,25%,10
5/15/2020,Western,0%,10
5/16/2020,Western,-10%,9
5/17/2020,Western,-33.333333333%,6
5/18/2020,Western,-16.666666667%,5
5/19/2020,Western,20%,6
5/20/2020,Western,-16.666666667%,5
5/21/2020,Western,0%,5
5/22/2020,Western,-20%,4
5/23/2020,Western,0%,4
5/24/2020,Western,0%,4
5/25/2020,Western,0%,4
5/26/2020,Western,0%,4
5/27/2020,Western,25%,5
5/28/2020,Western,40%,7
5/29/2020,Western,0%,7
5/30/2020,Western,-28.571428571%,5
5/31/2020,Western,-40%,3
6/1/2020,Western,-100%,0
6/2/2020,Western,,0
6/3/2020,Western,,0
6/4/2020,Western,,0
6/5/2020,Western,,1
6/6/2020,Western,0%,1
6/7/2020,Western,0%,1
